korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
안녕하세요,annyeonghaseyo,Guten Tag / Hallo (formell),A1,Ausdruck,"안녕하세요, 처음 뵙겠습니다.",Guten Tag!,Begrüßung,a1_greetings_1,1,false,Hello / Good day (formal),Expression,Hello!,vocab_a1_0001
안녕,annyeong,Hallo / Tschüss (informell),A1,Ausdruck,"안녕, 오랜만이야!",Hallo!,Begrüßung,a1_greetings_1,2,false,Hi / Bye (informal),Expression,Hi!,vocab_a1_0002
감사합니다,gamsahamnida,Vielen Dank (sehr formell),A1,Ausdruck,도와주셔서 감사합니다.,Vielen Dank!,Höflichkeit,a1_greetings_1,3,false,Thank you (very formal),Expression,Thank you!,vocab_a1_0003
고마워요,gomawoyo,Danke (informell),A1,Ausdruck,정말 고마워요.,Danke!,Höflichkeit,a1_greetings_1,4,false,Thanks (informal),Expression,Thanks!,vocab_a1_0004
죄송합니다,joesonghamnida,Entschuldigung (formell),A1,Ausdruck,늦어서 죄송합니다.,Entschuldigung.,Höflichkeit,a1_greetings_1,5,false,I'm sorry (formal),Expression,I'm sorry.,vocab_a1_0005
미안해요,mianhaeyo,Es tut mir leid,A1,Ausdruck,진짜 미안해요.,Es tut mir leid.,Höflichkeit,a1_greetings_1,6,false,I'm sorry,Expression,I'm sorry.,vocab_a1_0006
괜찮아요,gwaenchanayo,Kein Problem / Es ist okay,A1,Ausdruck,저는 괜찮아요.,Ist es okay?,Alltag,a1_daily_1,1,false,It's okay / No problem,Expression,Are you okay?,vocab_a1_0007
네,ne,Ja,A1,Ausdruck,"네, 알겠어요.","Ja, das stimmt.",Alltag,a1_daily_1,2,false,Yes,Expression,"Yes, that's right.",vocab_a1_0008
아니요,aniyo,Nein,A1,Ausdruck,"아니요, 저는 안 갈래요.","Nein, ich möchte nicht gehen.",Alltag,a1_daily_1,3,false,No,Expression,"No, I don't want to go.",vocab_a1_0009
이름,ireum,Name,A1,Nomen,제 이름은 크리스티안이에요.,Mein Name ist Christian.,Person,a1_self_intro,1,false,name,Noun,My name is Christian.,vocab_a1_0010
나이,nai,Alter,A1,Nomen,나이가 어떻게 되세요?,Wie alt bist du?,Person,a1_self_intro,2,false,age,Noun,How old are you?,vocab_a1_0011
나라,nara,Land,A1,Nomen,어느 나라 사람이에요?,Aus welchem Land kommst du?,Geographie,a1_misc_1,1,false,country,Noun,Which country are you from?,vocab_a1_0012
학생,haksaeng,Student/Schüler,A1,Nomen,저는 학생이에요.,Ich bin Student.,Person,a1_self_intro,3,false,student / pupil,Noun,I am a student.,vocab_a1_0013
선생님,seonsaengnim,Lehrer/in,A1,Nomen,"선생님, 안녕하세요.","Danke, Lehrerin.",Person,a1_self_intro,4,false,teacher,Noun,"Thank you, teacher.",vocab_a1_0014
친구,chingu,Freund/Freundin,A1,Nomen,이 사람 제 친구예요.,Das ist mein Freund.,Beziehungen,a1_family_1,1,false,friend,Noun,This is my friend.,vocab_a1_0015
남자친구,namjachingu,Freund (Beziehung),A1,Nomen,남자친구가 있어요.,Ich habe einen Freund.,Beziehungen,a1_family_1,2,false,boyfriend,Noun,I have a boyfriend.,vocab_a1_0016
여자친구,yeojachingu,Freundin (Beziehung),A1,Nomen,여자친구가 있어요.,Ich habe eine Freundin.,Beziehungen,a1_family_1,3,false,girlfriend,Noun,I have a girlfriend.,vocab_a1_0017
가족,gajok,Familie,A1,Nomen,저희 가족은 네 명이에요.,Wie viele Familienmitglieder hast du?,Familie,a1_family_1,4,false,family,Noun,How many people are in your family?,vocab_a1_0018
집,jip,Haus / Zuhause,A1,Nomen,집에 가요.,Ich gehe nach Hause.,Alltag,a1_daily_1,4,false,house / home,Noun,I'm going home.,vocab_a1_0019
학교,hakgyo,Schule,A1,Nomen,학교에 가요.,Ich gehe zur Schule.,Bildung,a1_misc_1,2,false,school,Noun,I go to school.,vocab_a1_0020
물,mul,Wasser,A1,Nomen,물 주세요.,Wasser bitte.,Essen & Trinken,a1_food_1,1,false,water,Noun,"Water, please.",vocab_a1_0021
밥,bap,Reis / Mahlzeit,A1,Nomen,밥 먹었어요?,Hast du gegessen?,Essen & Trinken,a1_food_1,2,false,rice / meal,Noun,Have you eaten?,vocab_a1_0022
커피,keopi,Kaffee,A1,Nomen,커피 마셔요.,Ich trinke Kaffee.,Essen & Trinken,a1_food_1,3,false,coffee,Noun,I drink coffee.,vocab_a1_0023
빵,ppang,Brot,A1,Nomen,빵을 먹어요.,Ich esse Brot.,Essen & Trinken,a1_food_1,4,false,bread,Noun,I eat bread.,vocab_a1_0024
책,chaek,Buch,A1,Nomen,책을 읽어요.,Ich lese ein Buch.,Bildung,a1_misc_1,3,false,book,Noun,I read a book.,vocab_a1_0025
핸드폰,haendeupon,Handy,A1,Nomen,핸드폰이 있어요?,Hast du ein Handy?,Technologie,a1_misc_1,4,false,cellphone,Noun,Do you have a cellphone?,vocab_a1_0026
버스,beoseu,Bus,A1,Nomen,버스를 타요.,Ich nehme den Bus.,Verkehr,a1_transport,1,false,bus,Noun,I take the bus.,vocab_a1_0027
지하철,jihacheol,U-Bahn,A1,Nomen,지하철역이 어디예요?,Wo ist die U-Bahn-Station?,Verkehr,a1_transport,2,false,subway,Noun,Where is the subway station?,vocab_a1_0028
